34:38.4,-9.3253,4.49739,186,84,49,49,,,,
34:39.3,-9.3253,4.49739,107,72,49,62,,,,
34:40.2,-9.3253,4.49739,64,340,46,52,,,,
34:41.3,-9.3253,4.49739,65,78,59,,,,,
34:42.3,-9.3253,4.49739,61,76,55,48,,,,
34:42.5,-9.3253,4.49739,,,,48,,,,
34:42.8,-9.3253,4.49739,78,67,65,,,,,
34:43.0,-9.3253,4.49739,,,,52,,,,
34:43.3,-9.3253,4.49739,96,75,79,,,,,
34:43.5,-9.3253,4.49739,,,,67,,,,
